Title,Price,Link,Image Link,Sold Date
Panini Women’s World Cup 2023 (Numbers 1 to 200) **Please Select Stickers**,"33,229.13 VND",https://www.ebay.com/itm/195839032713,https://i.ebayimg.com/images/g/tS4AAOSwQlRkldwF/s-l140.jpg,"Sold  Mar 14, 2025"
Panini FIFA Women's World Cup 2023 - Stickers #1 - #208 **US Seller**,"25,527.15 VND to 386,517.15 VND",https://www.ebay.com/itm/266291293078,https://i.ebayimg.com/images/g/6KcAAOSw7bZkf2JD/s-l140.jpg,"Sold  Mar 8, 2025"
Panini FIFA Women's World Cup 2023 Stickers #1 - #208 - Buy 4 Get 10 FREE,"41,536.41 VND to 64,796.80 VND",https://www.ebay.com/itm/175996344979,https://i.ebayimg.com/images/g/j7sAAOSwslNlPnPh/s-l140.jpg,"Sold  Mar 7, 2025"
PANINI ADRENALYN XL FIFA WOMENS WORLD CUP 2023 BASE CARDS,"32,896.84 VND to 64,796.80 VND",https://www.ebay.com/itm/325725430873,https://i.ebayimg.com/images/g/a10AAOSwsNFkqxIf/s-l140.jpg,"Sold  Mar 4, 2025"
2023 Panini FIFA Women's World Cup Mini Sticker Singles #1-200 -Pick Ur Stickers,"76,065.75 VND to 411,270.75 VND",https://www.ebay.com/itm/175834452617,https://i.ebayimg.com/images/g/pEAAAOSwZQ1kwCtQ/s-l140.jpg,"Sold  Feb 17, 2025"
FIFA Women's World Cup 2023 Adrenalyn XL Trading Cards Choose Your Card,"31,148.28 VND to 77,870.70 VND",https://www.ebay.com/itm/195977530823,https://i.ebayimg.com/images/g/BVsAAOSwBQNlADiG/s-l140.jpg,"Sold  Feb 6, 2025"
Panini UEFA Women's Euros 2022 England Stickers #1 - 198 Buy 4 get 10 Free,"32,896.84 VND to 58,150.98 VND",https://www.ebay.com/itm/313996066424,https://i.ebayimg.com/images/g/vEYAAOSwgVJifRTR/s-l140.jpg,"Sold  Jan 26, 2025"
Panini Women's FIFA World Cup 2023 Stickers #1 - 208 Buy 4 get 10 Free,"32,896.84 VND to 64,796.80 VND",https://www.ebay.com/itm/314626469328,https://i.ebayimg.com/images/g/CBAAAOSwFhVkeYvG/s-l140.jpg,"Sold  Jan 11, 2025"
FIFA Women's World Cup Adrenalyn XL 2023 Trading Cards Trading Cards 1-168,"28,250.05 VND to 98,592.66 VND",https://www.ebay.com/itm/295816594805,https://i.ebayimg.com/images/g/Y-oAAOSwrYVksWHn/s-l500.jpg,"Sold  Apr 5, 2025"
Panini UEFA EURO Women's European Championship 2022 - collectible sticker 1-177,"28,250.05 VND to 273,742.95 VND",https://www.ebay.com/itm/304500301091,https://i.ebayimg.com/images/g/zQgAAOSwjsxijJY4/s-l500.jpg,"Sold  Mar 25, 2025"
Panini FIFA Women's World Cup 2023 AU&NZ Choose Sticker # 1 - 199 Part 1/3,"28,250.05 VND to 226,000.37 VND",https://www.ebay.com/itm/235036411916,https://i.ebayimg.com/images/g/NhIAAOSw6wNke1Jk/s-l140.jpg,"Sold  Mar 11, 2025"
Panini Donruss FIFA Women's World Cup 2023 - Pick Your Card,"28,250.05 VND to 282,217.96 VND",https://www.ebay.com/itm/115964423333,https://i.ebayimg.com/images/g/wWcAAOSwrFplRoX6/s-l140.jpg,"Sold  Feb 23, 2025"
Panini UEFA Women's Euro 2022 to choose from (sticker to choose) 1 - 250 part 1/2,"28,250.05 VND to 141,250.23 VND",https://www.ebay.com/itm/234549564441,https://i.ebayimg.com/images/g/-zAAAOSwyx9ifS49/s-l140.jpg,"Sold  Mar 20, 2025"
Panini UEFA Women's Euro 202 to choose from (sticker to choose)251 - 366 part 2/2,"28,250.05 VND to 42,375.07 VND",https://www.ebay.com/itm/234549600310,https://i.ebayimg.com/images/g/YJgAAOSwuutifTO7/s-l140.jpg,"Sold  Dec 29, 2024"
PANINI FIFA WOMENS WORLD CUP 2023 STICKER COLLECTION #1 - #208 GROUPS A B C,"32,896.84 VND to 197,713.32 VND",https://www.ebay.com/itm/374732800894,https://i.ebayimg.com/images/g/4o4AAOSwaJ1kd9IB/s-l140.jpg,"Sold  Apr 3, 2025"
2023 Donruss Womens World Cup Soccer Inserts Pick Your Card Complete Your Set,"25,527.15 VND to 515,442.15 VND",https://www.ebay.com/itm/256356910750,https://i.ebayimg.com/images/g/LE4AAOSwlxFljKtj/s-l140.jpg,"Sold  Mar 31, 2025"
Panini Women’s World Cup 2023 (Numbers 1 to 200) **Please Select Stickers**,"33,229.13 VND",https://www.ebay.com/itm/195839032713,https://i.ebayimg.com/images/g/tS4AAOSwQlRkldwF/s-l140.jpg,"Sold  Mar 14, 2025"
Panini FIFA Women's World Cup 2023 - Stickers #1 - #208 **US Seller**,"25,527.15 VND to 386,517.15 VND",https://www.ebay.com/itm/266291293078,https://i.ebayimg.com/images/g/6KcAAOSw7bZkf2JD/s-l140.jpg,"Sold  Mar 8, 2025"
Panini FIFA Women's World Cup 2023 Stickers #1 - #208 - Buy 4 Get 10 FREE,"41,536.41 VND to 64,796.80 VND",https://www.ebay.com/itm/175996344979,https://i.ebayimg.com/images/g/j7sAAOSwslNlPnPh/s-l140.jpg,"Sold  Mar 7, 2025"
PANINI ADRENALYN XL FIFA WOMENS WORLD CUP 2023 BASE CARDS,"32,896.84 VND to 64,796.80 VND",https://www.ebay.com/itm/325725430873,https://i.ebayimg.com/images/g/a10AAOSwsNFkqxIf/s-l140.jpg,"Sold  Mar 4, 2025"
2023 Panini FIFA Women's World Cup Mini Sticker Singles #1-200 -Pick Ur Stickers,"76,065.75 VND to 411,270.75 VND",https://www.ebay.com/itm/175834452617,https://i.ebayimg.com/images/g/pEAAAOSwZQ1kwCtQ/s-l140.jpg,"Sold  Feb 17, 2025"
FIFA Women's World Cup 2023 Adrenalyn XL Trading Cards Choose Your Card,"31,148.28 VND to 77,870.70 VND",https://www.ebay.com/itm/195977530823,https://i.ebayimg.com/images/g/BVsAAOSwBQNlADiG/s-l140.jpg,"Sold  Feb 6, 2025"
Panini UEFA Women's Euros 2022 England Stickers #1 - 198 Buy 4 get 10 Free,"32,896.84 VND to 58,150.98 VND",https://www.ebay.com/itm/313996066424,https://i.ebayimg.com/images/g/vEYAAOSwgVJifRTR/s-l140.jpg,"Sold  Jan 26, 2025"
Panini Women's FIFA World Cup 2023 Stickers #1 - 208 Buy 4 get 10 Free,"32,896.84 VND to 64,796.80 VND",https://www.ebay.com/itm/314626469328,https://i.ebayimg.com/images/g/CBAAAOSwFhVkeYvG/s-l140.jpg,"Sold  Jan 11, 2025"
FIFA Women's World Cup Adrenalyn XL 2023 Trading Cards Trading Cards 1-168,"28,250.05 VND to 98,592.66 VND",https://www.ebay.com/itm/295816594805,https://i.ebayimg.com/images/g/Y-oAAOSwrYVksWHn/s-l140.jpg,"Sold  Apr 5, 2025"
PANINI FIFA WOMENS WORLD CUP 2023 STICKER COLLECTION #1 - #208 GROUPS A B C,"32,896.84 VND to 197,713.32 VND",https://www.ebay.com/itm/374732800894,https://i.ebayimg.com/images/g/4o4AAOSwaJ1kd9IB/s-l140.jpg,"Sold  Apr 3, 2025"
2023 Donruss Womens World Cup Soccer Inserts Pick Your Card Complete Your Set,"25,527.15 VND to 515,442.15 VND",https://www.ebay.com/itm/256356910750,https://i.ebayimg.com/images/g/LE4AAOSwlxFljKtj/s-l140.jpg,"Sold  Mar 31, 2025"
Panini UEFA EURO Women's European Championship 2022 - collectible sticker 1-177,"28,250.05 VND to 273,742.95 VND",https://www.ebay.com/itm/304500301091,https://i.ebayimg.com/images/g/zQgAAOSwjsxijJY4/s-l140.jpg,"Sold  Mar 25, 2025"
Panini Women’s World Cup 2023 (Numbers 1 to 200) **Please Select Stickers**,"33,229.13 VND",https://www.ebay.com/itm/195839032713,https://i.ebayimg.com/images/g/tS4AAOSwQlRkldwF/s-l140.jpg,"Sold  Mar 14, 2025"
Panini FIFA Women's World Cup 2023 AU&NZ Choose Sticker # 1 - 199 Part 1/3,"28,250.05 VND to 226,000.37 VND",https://www.ebay.com/itm/235036411916,https://i.ebayimg.com/images/g/NhIAAOSw6wNke1Jk/s-l140.jpg,"Sold  Mar 11, 2025"
Panini FIFA Women's World Cup 2023 - Stickers #1 - #208 **US Seller**,"25,527.15 VND to 386,517.15 VND",https://www.ebay.com/itm/266291293078,https://i.ebayimg.com/images/g/6KcAAOSw7bZkf2JD/s-l140.jpg,"Sold  Mar 8, 2025"
Panini FIFA Women's World Cup 2023 Stickers #1 - #208 - Buy 4 Get 10 FREE,"41,536.41 VND to 64,796.80 VND",https://www.ebay.com/itm/175996344979,https://i.ebayimg.com/images/g/j7sAAOSwslNlPnPh/s-l140.jpg,"Sold  Mar 7, 2025"
PANINI ADRENALYN XL FIFA WOMENS WORLD CUP 2023 BASE CARDS,"32,896.84 VND to 64,796.80 VND",https://www.ebay.com/itm/325725430873,https://i.ebayimg.com/images/g/a10AAOSwsNFkqxIf/s-l140.jpg,"Sold  Mar 4, 2025"
Panini Donruss FIFA Women's World Cup 2023 - Pick Your Card,"28,250.05 VND to 282,217.96 VND",https://www.ebay.com/itm/115964423333,https://i.ebayimg.com/images/g/wWcAAOSwrFplRoX6/s-l140.jpg,"Sold  Feb 23, 2025"
2023 Panini FIFA Women's World Cup Mini Sticker Singles #1-200 -Pick Ur Stickers,"76,065.75 VND to 411,270.75 VND",https://www.ebay.com/itm/175834452617,https://i.ebayimg.com/images/g/pEAAAOSwZQ1kwCtQ/s-l140.jpg,"Sold  Feb 17, 2025"
FIFA Women's World Cup 2023 Adrenalyn XL Trading Cards Choose Your Card,"31,148.28 VND to 77,870.70 VND",https://www.ebay.com/itm/195977530823,https://i.ebayimg.com/images/g/BVsAAOSwBQNlADiG/s-l140.jpg,"Sold  Feb 6, 2025"
Panini UEFA Women's Euros 2022 England Stickers #1 - 198 Buy 4 get 10 Free,"32,896.84 VND to 58,150.98 VND",https://www.ebay.com/itm/313996066424,https://i.ebayimg.com/images/g/vEYAAOSwgVJifRTR/s-l140.jpg,"Sold  Jan 26, 2025"
Panini Women's FIFA World Cup 2023 Stickers #1 - 208 Buy 4 get 10 Free,"32,896.84 VND to 64,796.80 VND",https://www.ebay.com/itm/314626469328,https://i.ebayimg.com/images/g/CBAAAOSwFhVkeYvG/s-l140.jpg,"Sold  Jan 11, 2025"
